id,date,latitude,longitude,timestamp,temp,feels_like,humidity,pressure,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,snow_1h,elevation,errors
2233,28-04-2024,30.88,-97.41,1714280400,24.28,24.98,85,1007,8.3,162,0,96,0.12,0,167,[]
2234,28-04-2024,31.08,-97.43,1714280400,24.25,24.87,82,1007,10.29,150,13.89,100,0.12,0,161,[]
2235,28-04-2024,31.5287,-96.5376,1714280400,24.35,24.88,78,1008,7.2,150,11.83,100,0.17,0,150,[]
2236,28-04-2024,31.52,-96.53,1714280400,24.25,24.79,79,1008,7.2,150,11.83,100,0.17,0,147,[]
2237,28-04-2024,31.65,-96.3,1714280400,24.76,25.46,83,1008,8.47,157,0,100,0.14,0,153,[]
2238,28-04-2024,31.6789,-96.1731,1714280400,25.04,25.64,78,1008,8.47,157,0,100,0.14,0,135,[]
2239,28-04-2024,30.94,-95.91,1714280400,25,25.67,81,1009,4.92,130,10.28,84,0,0,87,[]
2240,28-04-2024,31.61,-94.65,1714280400,24.22,24.86,83,1011,6.69,150,9.77,100,0,0,99,[]
2241,28-04-2024,31.6,-94.65,1714280400,24.29,24.94,83,1011,6.69,150,9.77,100,0,0,85,[]
2242,28-04-2024,31.3,-94.85,1714280400,24.51,24.92,73,1011,9.26,150,12.35,100,0,0,87,[]
2243,28-04-2024,31.02,-95.75,1714280400,25.05,25.73,81,1010,4.92,130,10.28,97,0,0,76,[]
2244,28-04-2024,30.95,-95.3,1714280400,25.06,25.71,80,1011,6.8,145,0,91,0,0,53,[]
2245,28-04-2024,31.053,-95.098,1714280400,24.66,25.3,81,1011,6.74,145,0,74,0,0,112,[]
2246,28-04-2024,31.06,-95.13,1714280400,24.6,25.2,80,1011,6.8,145,0,91,0,0,104,[]
2247,28-04-2024,31.12,-95.22,1714280400,24.68,25.29,80,1011,6.8,145,0,91,0,0,99,[]
2248,28-04-2024,31.19,-95.06,1714280400,24.57,25.17,80,1011,6.66,147,0,85,0,0,122,[]
2249,28-04-2024,30.61,-96.33,1714280400,24.53,25.02,76,1009,11.83,150,15.95,100,0,0,106,[]
2250,28-04-2024,30.9414,-95.3582,1714280400,24.95,25.59,80,1011,6.8,145,0,91,0,0,62,[]
2251,28-04-2024,31.05,-95.23,1714280400,24.84,25.47,80,1011,6.8,145,0,91,0,0,70,[]
2252,28-04-2024,30.87,-95.69,1714280400,25.1,25.81,82,1010,8.23,160,14.92,100,0,0,77,[]
2253,29-04-2024,30.87,-95.69,1714366800,21.69,22.53,100,1010,5.66,10,7.72,100,0.91,0,77,[]
2254,28-04-2024,30.95,-95.91,1714280400,25.01,25.68,81,1009,4.92,130,10.28,84,0,0,86,[]
2255,29-04-2024,30.95,-95.91,1714366800,21.45,22.21,98,1010,4.53,177,0,100,1.63,0,86,[]
2256,28-04-2024,30.72,-95.55,1714280400,24.51,25.18,83,1010,8.23,160,14.92,100,0,0,114,[]
2257,29-04-2024,30.72,-95.55,1714366800,21.77,22.51,96,1010,4.64,175,0,100,0.69,0,114,[]
2258,28-04-2024,31.01,-94.97,1714280400,24.56,25.19,81,1011,6.74,145,0,74,0,0,89,[]
2259,29-04-2024,31.01,-94.97,1714366800,20.94,21.57,95,1010,4.62,180,0,100,3.25,0,89,[]
2260,29-04-2024,30.62,-95.53,1714366800,21.9,22.65,96,1011,4.56,169,0,100,0,0,95,[]
2261,29-04-2024,30.9645,-93.9928,1714366800,23.44,24.27,93,1011,5.18,168,0,100,0.89,0,110,[]
2262,29-04-2024,30.5982,-94.4444,1714366800,24.01,24.95,95,1011,3.79,172,0,100,5.38,0,58,[]
